algname,n_train,n_users,acc
KNNWithMeans,50,5,0.692
KNNWithMeans,60,5,0.684
KNNWithMeans,70,5,0.728
KNNWithMeans,80,5,0.7
KNNWithMeans,90,5,0.74
KNNWithMeans,100,5,0.748
KNNWithMeans,110,5,0.728
KNNWithMeans,120,5,0.728
KNNWithMeans,130,5,0.728
KNNWithMeans,140,5,0.78
KNNWithMeans,150,5,0.76
KNNWithMeans,160,5,0.724
KNNWithMeans,170,5,0.744
KNNWithMeans,180,5,0.752
KNNWithMeans,190,5,0.76
KNNWithMeans,200,5,0.744
KNNWithMeans,10,10,0.692
KNNWithMeans,20,10,0.678
KNNWithMeans,30,10,0.732
KNNWithMeans,40,10,0.754
KNNWithMeans,50,10,0.754
KNNWithMeans,60,10,0.772
KNNWithMeans,70,10,0.806
KNNWithMeans,80,10,0.806
KNNWithMeans,90,10,0.828
KNNWithMeans,100,10,0.816
KNNWithMeans,110,10,0.808
KNNWithMeans,120,10,0.82
KNNWithMeans,130,10,0.856
KNNWithMeans,140,10,0.808
KNNWithMeans,150,10,0.854
KNNWithMeans,160,10,0.824
KNNWithMeans,170,10,0.86
KNNWithMeans,180,10,0.85
KNNWithMeans,190,10,0.868
KNNWithMeans,200,10,0.82
KNNWithMeans,10,25,0.7488
KNNWithMeans,20,25,0.7728
KNNWithMeans,30,25,0.7976
KNNWithMeans,40,25,0.7968
KNNWithMeans,50,25,0.828
KNNWithMeans,60,25,0.8
KNNWithMeans,70,25,0.8072
KNNWithMeans,80,25,0.812
KNNWithMeans,90,25,0.8152
KNNWithMeans,100,25,0.8232
KNNWithMeans,110,25,0.8256
KNNWithMeans,120,25,0.82
KNNWithMeans,130,25,0.8368
KNNWithMeans,140,25,0.832
KNNWithMeans,150,25,0.832
KNNWithMeans,160,25,0.8408
KNNWithMeans,170,25,0.832
KNNWithMeans,180,25,0.8248
KNNWithMeans,190,25,0.8224
KNNWithMeans,200,25,0.8192
KNNWithMeans,10,50,0.7196
KNNWithMeans,20,50,0.7676
KNNWithMeans,30,50,0.784
KNNWithMeans,40,50,0.7908
KNNWithMeans,50,50,0.8016
KNNWithMeans,60,50,0.8048
KNNWithMeans,70,50,0.8148
KNNWithMeans,80,50,0.8028
KNNWithMeans,90,50,0.8084
KNNWithMeans,100,50,0.8152
KNNWithMeans,110,50,0.81
KNNWithMeans,120,50,0.8104
KNNWithMeans,130,50,0.8136
KNNWithMeans,140,50,0.8072
KNNWithMeans,150,50,0.8128
KNNWithMeans,160,50,0.8228
KNNWithMeans,170,50,0.8144
KNNWithMeans,180,50,0.8132
KNNWithMeans,190,50,0.8088
KNNWithMeans,200,50,0.8092
KNNWithMeans,10,100,0.7594
KNNWithMeans,20,100,0.7892
KNNWithMeans,30,100,0.8058
KNNWithMeans,40,100,0.802
KNNWithMeans,50,100,0.8118
KNNWithMeans,60,100,0.8072
KNNWithMeans,70,100,0.815
KNNWithMeans,80,100,0.8108
KNNWithMeans,90,100,0.8162
KNNWithMeans,100,100,0.8074
KNNWithMeans,110,100,0.8178
KNNWithMeans,120,100,0.8188
KNNWithMeans,130,100,0.8222
KNNWithMeans,140,100,0.832
KNNWithMeans,150,100,0.8278
KNNWithMeans,160,100,0.8302
KNNWithMeans,170,100,0.8342
KNNWithMeans,180,100,0.8368
KNNWithMeans,190,100,0.8312
KNNWithMeans,200,100,0.8426
KNNWithMeans,10,250,0.74648
KNNWithMeans,20,250,0.79568
KNNWithMeans,30,250,0.79512
KNNWithMeans,40,250,0.804
KNNWithMeans,50,250,0.80536
KNNWithMeans,60,250,0.80664
KNNWithMeans,70,250,0.81672
KNNWithMeans,80,250,0.82856
KNNWithMeans,90,250,0.83176
KNNWithMeans,100,250,0.83688
KNNWithMeans,110,250,0.83784
KNNWithMeans,120,250,0.8436
KNNWithMeans,130,250,0.84264
KNNWithMeans,140,250,0.84744
KNNWithMeans,150,250,0.8484
KNNWithMeans,160,250,0.84688
KNNWithMeans,170,250,0.85464
KNNWithMeans,180,250,0.85056
KNNWithMeans,190,250,0.85368
KNNWithMeans,200,250,0.85312
KNNWithMeans,10,500,0.75776
KNNWithMeans,20,500,0.78324
KNNWithMeans,30,500,0.7986
KNNWithMeans,40,500,0.80172
KNNWithMeans,50,500,0.818
KNNWithMeans,60,500,0.82916
KNNWithMeans,70,500,0.8236
KNNWithMeans,80,500,0.83412
KNNWithMeans,90,500,0.8414
KNNWithMeans,100,500,0.84388
KNNWithMeans,110,500,0.83904
KNNWithMeans,120,500,0.84852
KNNWithMeans,130,500,0.84964
KNNWithMeans,140,500,0.857
KNNWithMeans,150,500,0.8566
KNNWithMeans,160,500,0.855
KNNWithMeans,170,500,0.85728
KNNWithMeans,180,500,0.86104
KNNWithMeans,190,500,0.86552
KNNWithMeans,200,500,0.85868
KNNWithMeans,10,1000,0.76666
KNNWithMeans,20,1000,0.78994
KNNWithMeans,30,1000,0.80792
KNNWithMeans,40,1000,0.81824
KNNWithMeans,50,1000,0.82632
KNNWithMeans,60,1000,0.83774
KNNWithMeans,70,1000,0.84238
KNNWithMeans,80,1000,0.84698
KNNWithMeans,90,1000,0.85474
KNNWithMeans,100,1000,0.85196
KNNWithMeans,110,1000,0.85964
KNNWithMeans,120,1000,0.86304
KNNWithMeans,130,1000,0.86484
KNNWithMeans,140,1000,0.86788
KNNWithMeans,150,1000,0.86962
KNNWithMeans,160,1000,0.87144
KNNWithMeans,170,1000,0.87166
KNNWithMeans,180,1000,0.86992
KNNWithMeans,190,1000,0.87718
KNNWithMeans,200,1000,0.87236
