algname,n_train,n_users,acc
KNNWithMeans,60,10,0.55
KNNWithMeans,70,10,0.55
KNNWithMeans,80,10,0.55
KNNWithMeans,90,10,0.55
KNNWithMeans,100,10,0.55
KNNWithMeans,110,10,0.55
KNNWithMeans,120,10,0.55
KNNWithMeans,130,10,0.55
KNNWithMeans,140,10,0.55
KNNWithMeans,150,10,0.55
KNNWithMeans,160,10,0.55
KNNWithMeans,170,10,0.55
KNNWithMeans,180,10,0.55
KNNWithMeans,190,10,0.55
KNNWithMeans,200,10,0.55
KNNWithMeans,10,25,0.692
KNNWithMeans,20,25,0.692
KNNWithMeans,30,25,0.692
KNNWithMeans,40,25,0.692
KNNWithMeans,50,25,0.692
KNNWithMeans,60,25,0.692
KNNWithMeans,70,25,0.692
KNNWithMeans,80,25,0.692
KNNWithMeans,90,25,0.692
KNNWithMeans,100,25,0.692
KNNWithMeans,110,25,0.692
KNNWithMeans,120,25,0.692
KNNWithMeans,130,25,0.692
KNNWithMeans,140,25,0.692
KNNWithMeans,150,25,0.692
KNNWithMeans,160,25,0.692
KNNWithMeans,170,25,0.692
KNNWithMeans,180,25,0.692
KNNWithMeans,190,25,0.692
KNNWithMeans,200,25,0.692
KNNWithMeans,10,50,0.644
KNNWithMeans,20,50,0.644
KNNWithMeans,30,50,0.644
KNNWithMeans,40,50,0.644
KNNWithMeans,50,50,0.644
KNNWithMeans,60,50,0.644
KNNWithMeans,70,50,0.644
KNNWithMeans,80,50,0.644
KNNWithMeans,90,50,0.644
KNNWithMeans,100,50,0.644
KNNWithMeans,110,50,0.644
KNNWithMeans,120,50,0.644
KNNWithMeans,130,50,0.644
KNNWithMeans,140,50,0.644
KNNWithMeans,150,50,0.644
KNNWithMeans,160,50,0.644
KNNWithMeans,170,50,0.644
KNNWithMeans,180,50,0.644
KNNWithMeans,190,50,0.644
KNNWithMeans,200,50,0.644
KNNWithMeans,10,100,0.65
KNNWithMeans,20,100,0.65
KNNWithMeans,30,100,0.65
KNNWithMeans,40,100,0.65
KNNWithMeans,50,100,0.65
KNNWithMeans,60,100,0.65
KNNWithMeans,70,100,0.65
KNNWithMeans,80,100,0.65
KNNWithMeans,90,100,0.65
KNNWithMeans,100,100,0.65
KNNWithMeans,110,100,0.65
KNNWithMeans,120,100,0.65
KNNWithMeans,130,100,0.65
KNNWithMeans,140,100,0.65
KNNWithMeans,150,100,0.65
KNNWithMeans,160,100,0.65
KNNWithMeans,170,100,0.65
KNNWithMeans,180,100,0.65
KNNWithMeans,190,100,0.65
KNNWithMeans,200,100,0.65
KNNWithMeans,10,250,0.6308
KNNWithMeans,20,250,0.6308
KNNWithMeans,30,250,0.6308
KNNWithMeans,40,250,0.6308
KNNWithMeans,50,250,0.6308
KNNWithMeans,60,250,0.6308
KNNWithMeans,70,250,0.6308
KNNWithMeans,80,250,0.6308
KNNWithMeans,90,250,0.6308
KNNWithMeans,100,250,0.6308
KNNWithMeans,110,250,0.6308
KNNWithMeans,120,250,0.6308
KNNWithMeans,130,250,0.6308
KNNWithMeans,140,250,0.6308
KNNWithMeans,150,250,0.6308
KNNWithMeans,160,250,0.6308
KNNWithMeans,170,250,0.6308
KNNWithMeans,180,250,0.6308
KNNWithMeans,190,250,0.6308
KNNWithMeans,200,250,0.6308
KNNWithMeans,10,500,0.6274
KNNWithMeans,20,500,0.6274
KNNWithMeans,30,500,0.6274
KNNWithMeans,40,500,0.6274
KNNWithMeans,50,500,0.6274
KNNWithMeans,60,500,0.6274
KNNWithMeans,70,500,0.6274
KNNWithMeans,80,500,0.6274
KNNWithMeans,90,500,0.6274
KNNWithMeans,100,500,0.6274
KNNWithMeans,110,500,0.6274
KNNWithMeans,120,500,0.6274
KNNWithMeans,130,500,0.6274
KNNWithMeans,140,500,0.6274
KNNWithMeans,150,500,0.6274
KNNWithMeans,160,500,0.6274
KNNWithMeans,170,500,0.6274
KNNWithMeans,180,500,0.6274
KNNWithMeans,190,500,0.6274
KNNWithMeans,200,500,0.6274
KNNWithMeans,10,1000,0.619
KNNWithMeans,20,1000,0.619
KNNWithMeans,30,1000,0.619
KNNWithMeans,40,1000,0.619
KNNWithMeans,50,1000,0.619
KNNWithMeans,60,1000,0.619
KNNWithMeans,70,1000,0.619
KNNWithMeans,80,1000,0.619
KNNWithMeans,90,1000,0.619
KNNWithMeans,100,1000,0.619
KNNWithMeans,110,1000,0.619
KNNWithMeans,120,1000,0.619
KNNWithMeans,130,1000,0.619
KNNWithMeans,140,1000,0.619
KNNWithMeans,150,1000,0.619
KNNWithMeans,160,1000,0.619
KNNWithMeans,170,1000,0.619
KNNWithMeans,180,1000,0.619
KNNWithMeans,190,1000,0.619
KNNWithMeans,200,1000,0.619
